Pictorem Scraper Data

Name,Tag #,Image URL,Product Link
"Snow","#122619","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_Snow.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122619.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122619.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122619.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122619.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122619.jpg","https://www.pictorem.com/122619/Snow.html"
"GoldFish","#122618","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_GoldFish.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122618.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122618.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122618.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122618.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122618.jpg","https://www.pictorem.com/122618/GoldFish.html"
"Racing","#122617","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_Racing.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122617.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122617.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122617.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122617.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122617.jpg","https://www.pictorem.com/122617/Racing.html"
"palatial","#122616","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_palatial.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122616.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122616.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122616.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122616.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122616.jpg","https://www.pictorem.com/122616/palatial.html"
"Beat","#122615","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_Beat.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122615.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122615.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122615.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122615.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122615.jpg","https://www.pictorem.com/122615/Beat.html"
"Flaw","#122614","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_Flaw.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122614.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122614.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122614.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122614.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122614.jpg","https://www.pictorem.com/122614/Flaw.html"
"rhino","#122613","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_rhino.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122613.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122613.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122613.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122613.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122613.jpg","https://www.pictorem.com/122613/rhino.html"
"femme","#122612","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_femme.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122612.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122612.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122612.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122612.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122612.jpg","https://www.pictorem.com/122612/femme.html"
"hallucination","#122611","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_hallucination.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122611.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122611.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122611.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122611.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122611.jpg","https://www.pictorem.com/122611/hallucination.html"
"Demoiselle","#122610","https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/900_Yurovich-Gallery_Demoiselle.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122610.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122610.jpg,https://img.cdn-pictorem.com/uploads/collection/F/FF3BOM8NHL/book_122610.png,https://img.cdn-pictorem.com/uploads/acrylic/4small/acr4_122610.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122610.jpg","https://www.pictorem.com/122610/Demoiselle.html"
