Pictorem Scraper Data

Name,Tag #,Image URL,Product Link
"Revelation","#464195","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Revelation_Master_36x45_2021_300dpi.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_464195.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/464195.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_464195.png,https://img.cdn-pictorem.com/uploads/split/1/split3_464195.jpg","https://www.pictorem.com/464195/Revelation"
"Ascension","#463859","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Ascension_Master_36x34_2021_300dpi.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_463859.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/463859.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_463859.png,https://img.cdn-pictorem.com/uploads/split/1/split3_463859.jpg","https://www.pictorem.com/463859/Ascension"
"Atlantic Reef","#463664","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Atlantic_Reef_Pitre_2021_Master.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_463664.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/463664.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_463664.png,https://img.cdn-pictorem.com/uploads/split/1/split3_463664.jpg","https://www.pictorem.com/463664/Atlantic Reef"
"Atlantis Dolphins","#463657","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Atlantis_Dolphins_2021_Master_300dpi.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_463657.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/463657.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_463657.png,https://img.cdn-pictorem.com/uploads/split/1/split3_463657.jpg","https://www.pictorem.com/463657/Atlantis Dolphins"
"Pacific Sunrise","#463637","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Pacific_Sunrise_2021_Master_Approved.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_463637.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/463637.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_463637.png,https://img.cdn-pictorem.com/uploads/split/1/split3_463637.jpg","https://www.pictorem.com/463637/Pacific Sunrise"
"Freedom","#463252","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_freedom_master_36x48_pictorem_300_1649186630.8722.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_463252.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/463252.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_463252.png,https://img.cdn-pictorem.com/uploads/split/1/split3_463252.jpg","https://www.pictorem.com/463252/Freedom"
"Blue Rush","#463221","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Blue_Rush_Master_with_Sig_2021.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_463221.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/463221.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_463221.png,https://img.cdn-pictorem.com/uploads/split/1/split3_463221.jpg","https://www.pictorem.com/463221/Blue Rush"
"Humanity","#453949","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Humanity_Master_Pitre_36x48_2021.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_453949.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/453949.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_453949.png,https://img.cdn-pictorem.com/uploads/split/1/split3_453949.jpg","https://www.pictorem.com/453949/Humanity"
"Fallen Heroes","#453364","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_The_Fallen_13_MASTER_Revised_Full.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_453364.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/453364.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_453364.png,https://img.cdn-pictorem.com/uploads/split/1/split3_453364.jpg","https://www.pictorem.com/453364/Fallen Heroes"
"Vanishing Point Dusk","#452059","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Vanishing_Point_2021_gold_blue_flat.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_452059.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/452059.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_452059.png,https://img.cdn-pictorem.com/uploads/split/1/split3_452059.jpg","https://www.pictorem.com/452059/Vanishing Point Dusk"
