Pictorem Scraper Data

Name,Description,Tag #,Image URL,Product Link
"Autumn leaves Serenade ","Autumn leaves Serenade is the watercolor artwork by the artist Irina Sztukowski This artwork can be shipped worldwide when ordered on Canvas & Poster Roll Any other format including, Stretched Canvas, Acrylic etc, ships only in North America (Free shipping)","#31456","https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/900_Irina-Sztukowski_Fall_Autumn_Leaves_1_HR.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_31456.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/31456.jpg,https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/book_31456.png,https://img.cdn-pictorem.com/uploads/acrylic/4/acr4_31456.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/31456.jpg,https://img.cdn-pictorem.com/uploads/split/1/split3_31456.jpg","https://www.pictorem.com/31456/Autumn leaves Serenade "
"Sunflowers Field Watercolor Painting by Irina Sztukowski","Sunflowers Field Watercolor Painting by Irina Sztukowski This artwork can be shipped worldwide when ordered on Canvas & Poster Roll Any other format including, Stretched Canvas, Acrylic etc, ships only in North America (Free shipping)","#122713","https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/900_Irina-Sztukowski_Sunflowers_Many_2.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_122713.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/122713.jpg,https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/book_122713.png,https://img.cdn-pictorem.com/uploads/acrylic/4/acr4_122713.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/122713.jpg,https://img.cdn-pictorem.com/uploads/split/1/split3_122713.jpg","https://www.pictorem.com/122713/Sunflowers Field Watercolor Painting by Irina Sztukowski"
"Watercolor Beach Painting Girl Boat And Ocean","Watercolor paining of a girl and the ocean by the artist Irina Sztukowski. This artwork can be shipped worldwide when ordered on Canvas & Poster Roll Any other format including, Stretched Canvas, Acrylic etc, ships only in North America (Free shipping)","#113064","https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/900_Irina-Sztukowski_Girl_Ocean_Beach_Painting_2011_Fragment.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_113064.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/113064.jpg,https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/book_113064.png,https://img.cdn-pictorem.com/uploads/acrylic/4/acr4_113064.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/113064.jpg,https://img.cdn-pictorem.com/uploads/split/1/split3_113064.jpg","https://www.pictorem.com/113064/Watercolor Beach Painting Girl Boat And Ocean"
"Watercolor Forest Silhouette Winter","Watercolor Forest Silhouette - Winter - - is the creative watercolor design by the artist Irina Sztukowski. Through the branches of the trees, the viewers can peek into a stunning Winter landscape with the white snow, blue sky, and mysterious game of light and shadow. When you purchase a print, you can e-mail the date of purchase and the image title to Irina, and she will personally send you Certificate of Authenticity with her signature. If you are interested in special promotions, discount codes, requesting a commission painting, or wish to license this particular artwork or a series of artworks, please contact Irina directly. This artwork can be shipped worldwide when ordered on Canvas & Poster Roll Any other format including, Stretched Canvas, Acrylic etc, ships only in North America (Free shipping)","#45545","https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/900_Irina-Sztukowski_Winter_Teal_Forest_3_.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_45545.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/45545.jpg,https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/book_45545.png,https://img.cdn-pictorem.com/uploads/acrylic/4/acr4_45545.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/45545.jpg,https://img.cdn-pictorem.com/uploads/split/1/split3_45545.jpg","https://www.pictorem.com/45545/Watercolor Forest Silhouette Winter"
"Girl And The Ocean","Girl And The Ocean is the realistic watercolor painting by the artist Irina Sztukowski. This artwork can be shipped worldwide when ordered on Canvas & Poster Roll Any other format including, Stretched Canvas, Acrylic etc, ships only in North America (Free shipping)","#31439","https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/900_Irina-Sztukowski_Girl_Ocean_Beach_Painting_2011_Corrected_DTX_.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_31439.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/31439.jpg,https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/book_31439.png,https://img.cdn-pictorem.com/uploads/acrylic/4/acr4_31439.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/31439.jpg,https://img.cdn-pictorem.com/uploads/split/1/split3_31439.jpg","https://www.pictorem.com/31439/Girl And The Ocean"
"Vintage Paris Eiffel Tower Watercolor Painting","Vintage Paris Eiffel Tower Watercolor Painting by the artist Irina Sztukowski This artwork can be shipped worldwide when ordered on Canvas & Poster Roll Any other format including, Stretched Canvas, Acrylic etc, ships only in North America (Free shipping)","#177411","https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/900_Irina-Sztukowski_Paris_Eiffel_Tower_Vintage_1_.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_177411.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/177411.jpg,https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/book_177411.png,https://img.cdn-pictorem.com/uploads/acrylic/4/acr4_177411.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/177411.jpg,https://img.cdn-pictorem.com/uploads/split/1/split3_177411.jpg","https://www.pictorem.com/177411/Vintage Paris Eiffel Tower Watercolor Painting"
"Golden Gate Bridge San Francisco","Most visited place in California, the famous Golden Gate Bridge by the artist Irina Sztukowski This artwork can be shipped worldwide when ordered on Canvas & Poster Roll Any other format including, Stretched Canvas, Acrylic etc, ships only in North America (Free shipping)","#31475","https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/900_Irina-Sztukowski_San_Francisco_Golden_Gate_Bridge.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_31475.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/31475.jpg,https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/book_31475.png,https://img.cdn-pictorem.com/uploads/acrylic/4/acr4_31475.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/31475.jpg,https://img.cdn-pictorem.com/uploads/split/1/split3_31475.jpg","https://www.pictorem.com/31475/Golden Gate Bridge San Francisco"
"Bicycle And Sunflowers","Bicycle And Sunflowers is the romantic watercolor collage by the artist Irina Sztukowski. Purple bicycle is parked at the beautiful view point with mountains. Sunflowers in the basket look fresh and festive. Sweet country scene! Pure retro! A vintage story! This artwork can be shipped worldwide when ordered on Canvas & Poster Roll Any other format including, Stretched Canvas, Acrylic etc, ships only in North America (Free shipping)","#31440","https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/900_Irina-Sztukowski_Bicycle_2.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_31440.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/31440.jpg,https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/book_31440.png,https://img.cdn-pictorem.com/uploads/acrylic/4/acr4_31440.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/31440.jpg,https://img.cdn-pictorem.com/uploads/split/1/split3_31440.jpg","https://www.pictorem.com/31440/Bicycle And Sunflowers"
"National Park Sequoia","National Park Sequoia is the realistic watercolor painting by the artist Irina Sztukowski. Try to find a Deer hiding in this painting This artwork can be shipped worldwide when ordered on Canvas & Poster Roll Any other format including, Stretched Canvas, Acrylic etc, ships only in North America (Free shipping)","#31457","https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/900_Irina-Sztukowski_Sequoia+Park+Deer+Painting.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_31457.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/31457.jpg,https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/book_31457.png,https://img.cdn-pictorem.com/uploads/acrylic/4/acr4_31457.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/31457.jpg,https://img.cdn-pictorem.com/uploads/split/1/split3_31457.jpg","https://www.pictorem.com/31457/National Park Sequoia"
"Cherry Blossoms","Cherry Blossoms is the watercolor design by the artist Irina Sztukowski. Gorgeous beginning of a new life, lovely pink flowers are blooming on gently waving branches. The background sunrise adds a lovely romantic note to the whole scene. This artwork can be shipped worldwide when ordered on Canvas & Poster Roll Any other format including, Stretched Canvas, Acrylic etc, ships only in North America (Free shipping)","#33641","https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/900_Irina-Sztukowski_Cherry_Blossoms_1.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_33641.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/33641.jpg,https://img.cdn-pictorem.com/uploads/collection/C/CE5JMM1IRS/book_33641.png,https://img.cdn-pictorem.com/uploads/acrylic/4/acr4_33641.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/33641.jpg,https://img.cdn-pictorem.com/uploads/split/1/split3_33641.jpg","https://www.pictorem.com/33641/Cherry Blossoms"
